Time (ms) - X (V);Amplitude - X (V);Time (ms) - Y (V);Amplitude - Y (V);Time (ms) - Z (V);Amplitude - Z (V);Time (ms) - LED (V);Amplitude - LED (V);Time (ms) - Camera;Amplitude - Camera;Time (ms) - UV;Amplitude - UV
30;5;30;5;30;0;30;0;30;1;30;0
30;5;30;5;30;0;30;0;30;1;30;0
30;5;30;5;30;0;30;0;30;1;30;0
30;5;30;5;30;0;30;0;30;1;30;0
30;5;30;5;30;0;30;5;30;1;30;0
30;5;30;5;30;0;30;5;30;1;30;0
30;5;30;5;30;0;30;5;30;1;30;0
30;5;30;5;30;0;30;5;30;1;30;0
30;5;30;5;30;0;30;0;30;1;30;0
31;5;31;5;31;0;31;0;31;1;31;0
31;5;31;5;31;0;31;0;31;1;31;0
31;5;31;5;31;0;31;0;31;1;31;0
31;5;31;5;31;0;31;0;31;1;31;0
31;5;31;5;31;0;31;0;31;1;31;0
31;5;31;5;31;0;31;0;31;1;31;0
31;5;31;5;31;0;31;0;31;1;31;0
31;5;31;5;31;0;31;0;31;1;31;0
31;5;31;5;31;0;31;0;31;1;31;0
32;5;32;5;32;0;32;0;32;1;32;0
32;5;32;5;32;0;32;0;32;1;32;0
32;5;32;5;32;0;32;0;32;1;32;0
32;5;32;5;32;0;32;0;32;1;32;0
32;5;32;5;32;0;32;0;32;1;32;0
32;5;32;5;32;0;32;0;32;1;32;0
32;5;32;5;32;0;32;5;32;1;32;0
32;5;32;5;32;0;32;5;32;1;32;0
32;5;32;5;32;0;32;5;32;1;32;0
32;5;32;5;32;0;32;5;32;1;32;0
32;5;32;5;32;0;32;0;32;1;32;0
33;5;33;5;33;0;33;0;33;1;33;0
33;5;33;5;33;0;33;0;33;1;33;0
33;5;33;5;33;0;33;0;33;1;33;0
33;5;33;5;33;0;33;0;33;1;33;0
33;5;33;5;33;0;33;0;33;1;33;0
33;5;33;5;33;0;33;0;33;1;33;0
33;5;33;5;33;0;33;0;33;1;33;0
33;5;33;5;33;0;33;0;33;1;33;0
33;5;33;5;33;0;33;0;33;1;33;0
34;5;34;5;34;0;34;0;34;1;34;0
34;5;34;5;34;0;34;0;34;1;34;0
34;5;34;5;34;0;34;0;34;1;34;0
34;5;34;5;34;0;34;0;34;1;34;0
34;5;34;5;34;0;34;0;34;1;34;0
34;5;34;5;34;0;34;0;34;1;34;0
34;5;34;5;34;0;34;5;34;1;34;0
34;5;34;5;34;0;34;5;34;1;34;0
34;5;34;5;34;0;34;5;34;1;34;0
34;5;34;5;34;0;34;5;34;1;34;0
34;5;34;5;34;0;34;0;34;1;34;0
35;5;35;5;35;0;35;0;35;1;35;0
35;5;35;5;35;0;35;0;35;1;35;0
35;5;35;5;35;0;35;0;35;1;35;0
35;5;35;5;35;0;35;0;35;1;35;0
35;5;35;5;35;0;35;0;35;1;35;0
35;5;35;5;35;0;35;0;35;1;35;0
35;5;35;5;35;0;35;0;35;1;35;0
35;5;35;5;35;0;35;0;35;1;35;0
35;5;35;5;35;0;35;0;35;1;35;0
36;5;36;5;36;0;36;0;36;1;36;0
36;5;36;5;36;0;36;0;36;1;36;0
36;5;36;5;36;0;36;0;36;1;36;0
36;5;36;5;36;0;36;0;36;1;36;0
36;5;36;5;36;0;36;0;36;1;36;0
36;5;36;5;36;0;36;0;36;1;36;0
36;5;36;5;36;0;36;5;36;1;36;0
36;5;36;5;36;0;36;5;36;1;36;0
36;5;36;5;36;0;36;5;36;1;36;0
36;5;36;5;36;0;36;5;36;1;36;0
36;5;36;5;36;0;36;0;36;1;36;0
37;5;37;5;37;0;37;0;37;1;37;0
37;5;37;5;37;0;37;0;37;1;37;0
37;5;37;5;37;0;37;0;37;1;37;0
37;5;37;5;37;0;37;0;37;1;37;0
37;5;37;5;37;0;37;0;37;1;37;0
37;5;37;5;37;0;37;0;37;1;37;0
37;5;37;5;37;0;37;0;37;1;37;0
37;5;37;5;37;0;37;0;37;1;37;0
37;5;37;5;37;0;37;0;37;1;37;0
38;5;38;5;38;0;38;0;38;1;38;0
38;5;38;5;38;0;38;0;38;1;38;0
38;5;38;5;38;0;38;0;38;1;38;0
38;5;38;5;38;0;38;0;38;1;38;0
38;5;38;5;38;0;38;0;38;1;38;0
38;5;38;5;38;0;38;0;38;1;38;0
38;5;38;5;38;0;38;5;38;1;38;0
38;5;38;5;38;0;38;5;38;1;38;0
38;5;38;5;38;0;38;5;38;1;38;0
38;5;38;5;38;0;38;5;38;1;38;0
38;5;38;5;38;0;38;0;38;1;38;0
39;5;39;5;39;0;39;0;39;1;39;0
39;5;39;5;39;0;39;0;39;1;39;0
39;5;39;5;39;0;39;0;39;1;39;0
